# ASTM E-490 AM0 Standard Spectra	
# Wavelength (micron)	W*m^{-2}*nm^{-1}
0.1195	0.0000619
0.1205	0.0005614
0.1215	0.004901
0.1225	0.001184
0.1235	0.0000477
0.1245	0.0000343
0.1255	0.0000288
0.1265	0.0000352
0.1275	0.0000213
0.1285	0.0000173
0.1295	0.0000399
0.1305	0.0001206
0.1315	0.0000398
0.1325	0.0000413
0.1335	0.000168
0.1345	0.0000457
0.1355	0.000038
0.1365	0.0000309
0.1375	0.0000292
0.1385	0.0000397
0.1395	0.0000756
0.1405	0.0000608
0.1415	0.0000421
0.1425	0.0000468
0.1435	0.0000511
0.1445	0.0000509
0.1455	0.0000554
0.1465	0.0000709
0.1475	0.0000849
0.1485	0.000082
0.1495	0.0000796
0.1505	0.000087
0.1515	0.0000927
0.1525	0.0001163
0.1535	0.0001299
0.1545	0.0002059
0.1555	0.0002144
0.1565	0.0001847
0.1575	0.0001717
0.1585	0.0001675
0.1595	0.0001754
0.1605	0.0001934
0.1615	0.0002228
0.1625	0.0002519
0.1635	0.0002841
0.1645	0.0002973
0.1655	0.0004302
0.1665	0.0003989
0.1675	0.0003875
0.1685	0.0004556
0.1695	0.0005877
0.1705	0.0006616
0.1715	0.000688
0.1725	0.0007252
0.1735	0.0007645
0.1745	0.0009067
0.1755	0.001079
0.1765	0.00122
0.1775	0.001403
0.1785	0.001538
0.1795	0.001576
0.1805	0.001831
0.1815	0.002233
0.1825	0.002243
0.1835	0.002244
0.1845	0.002066
0.1855	0.002311
0.1865	0.0027
0.1875	0.003009
0.1885	0.003291
0.1895	0.003569
0.1905	0.003764
0.1915	0.004165
0.1925	0.004113
0.1935	0.003808
0.1945	0.00521
0.1955	0.005427
0.1965	0.006008
0.1975	0.006191
0.1985	0.006187
0.1995	0.006664
0.2005	0.007326
0.2015	0.008023
0.2025	0.008261
0.2035	0.009217
0.2045	0.01025
0.2055	0.01054
0.2065	0.01108
0.2075	0.01265
0.2085	0.01505
0.2095	0.02138
0.2105	0.02792
0.2115	0.03354
0.2125	0.0313
0.2135	0.03315
0.2145	0.04003
0.2155	0.03615
0.2165	0.03227
0.2175	0.03529
0.2185	0.04437
0.2195	0.04692
0.2205	0.04733
0.2215	0.03958
0.2225	0.04965
0.2235	0.06301
0.2245	0.05897
0.2255	0.05229
0.2265	0.0394
0.2275	0.03992
0.2285	0.05195
0.2295	0.04771
0.2305	0.05212
0.2315	0.05097
0.2325	0.05326
0.2335	0.04474
0.2345	0.03897
0.2355	0.05142
0.2365	0.04859
0.2375	0.04844
0.2385	0.04196
0.2395	0.04412
0.2405	0.03956
0.2415	0.05148
0.2425	0.0706
0.2435	0.06653
0.2445	0.06097
0.2455	0.04939
0.2465	0.0504
0.2475	0.0555
0.2485	0.04565
0.2495	0.05638
0.2505	0.0601
0.2515	0.04601
0.2525	0.04155
0.2535	0.05155
0.2545	0.05957
0.2555	0.0793
0.2565	0.1018
0.2575	0.1254
0.2585	0.1251
0.2595	0.104
0.2605	0.08551
0.2615	0.0898
0.2625	0.1036
0.2635	0.1658
0.2645	0.2497
0.2655	0.2527
0.2665	0.2494
0.2675	0.2508
0.2685	0.2438
0.2695	0.2389
0.2705	0.2673
0.2715	0.2244
0.2725	0.1974
0.2735	0.1965
0.2745	0.1326
0.2755	0.1751
0.2765	0.2428
0.2775	0.2338
0.2785	0.1593
0.2795	0.08555
0.2805	0.09463
0.2815	0.2083
0.2825	0.2941
0.2835	0.3135
0.2845	0.2353
0.2855	0.1631
0.2865	0.3227
0.2875	0.3363
0.2885	0.3222
0.2895	0.4727
0.2905	0.6013
0.2915	0.5808
0.2925	0.5219
0.2935	0.5355
0.2945	0.5088
0.2955	0.5532
0.2965	0.5096
0.2975	0.5073
0.2985	0.4655
0.2995	0.484
0.3005	0.42
0.3015	0.4555
0.3025	0.489
0.3035	0.6206
0.3045	0.6025
0.3055	0.5948
0.3065	0.5557
0.3075	0.615
0.3085	0.6114
0.3095	0.4965
0.3105	0.6224
0.3115	0.7292
0.3125	0.6559
0.3135	0.6999
0.3145	0.6629
0.3155	0.633
0.3165	0.6332
0.3175	0.7739
0.3185	0.6649
0.3195	0.7105
0.3205	0.8051
0.3215	0.6995
0.3225	0.6886
0.3235	0.6613
0.3245	0.7608
0.3255	0.8758
0.3265	0.9795
0.3275	0.9527
0.3285	0.9176
0.3295	1.061
0.3305	1.016
0.3315	0.9657
0.3325	0.9549
0.3335	0.9216
0.3345	0.9589
0.3355	0.9434
0.3365	0.8095
0.3375	0.8418
0.3385	0.9215
0.3395	0.9581
0.3405	1.007
0.3415	0.9238
0.3425	0.993
0.3435	0.9506
0.3445	0.7957
0.3455	0.9392
0.3465	0.9264
0.3475	0.9017
0.3485	0.8972
0.3495	0.8898
0.3505	1.05
0.3515	0.9795
0.3525	0.9079
0.3535	1.033
0.3545	1.111
0.3555	1.045
0.3565	0.9123
0.3575	0.796
0.3585	0.6936
0.3595	0.9911
0.3605	0.9708
0.3615	0.8781
0.3625	0.9978
0.3635	0.9969
0.3645	1.013
0.3655	1.152
0.3665	1.233
0.3675	1.18
0.3685	1.101
0.3695	1.226
0.3705	1.139
0.3715	1.175
0.3725	1.054
0.3735	0.9202
0.3745	0.9004
0.3755	1.062
0.3765	1.085
0.3775	1.282
0.3785	1.327
0.3795	1.066
0.3805	1.202
0.3815	1.082
0.3825	0.7913
0.3835	0.6841
0.3845	0.9597
0.3855	1.008
0.3865	1.007
0.3875	1.004
0.3885	0.9843
0.3895	1.174
0.3905	1.247
0.3915	1.342
0.3925	1.019
0.3935	0.5823
0.3945	1.026
0.3955	1.314
0.3965	0.8545
0.3975	0.9288
0.3985	1.522
0.3995	1.663
0.4005	1.682
0.4015	1.746
0.4025	1.759
0.4035	1.684
0.4045	1.674
0.4055	1.667
0.4065	1.589
0.4075	1.628
0.4085	1.735
0.4095	1.715
0.4105	1.532
0.4115	1.817
0.4125	1.789
0.4135	1.756
0.4145	1.737
0.4155	1.734
0.4165	1.842
0.4175	1.665
0.4185	1.684
0.4195	1.701
0.4205	1.757
0.4215	1.797
0.4225	1.582
0.4235	1.711
0.4245	1.767
0.4255	1.695
0.4265	1.698
0.4275	1.569
0.4285	1.587
0.4295	1.475
0.4305	1.135
0.4315	1.686
0.4325	1.646
0.4335	1.731
0.4345	1.67
0.4355	1.723
0.4365	1.929
0.4375	1.806
0.4385	1.567
0.4395	1.825
0.4405	1.713
0.4415	1.931
0.4425	1.98
0.4435	1.909
0.4445	1.973
0.4455	1.821
0.4465	1.891
0.4475	2.077
0.4485	1.973
0.4495	2.027
0.4505	2.144
0.4515	2.109
0.4525	1.941
0.4535	1.97
0.4545	1.979
0.4555	2.034
0.4565	2.077
0.4575	2.1
0.4585	1.971
0.4595	2.009
0.4605	2.04
0.4615	2.055
0.4625	2.104
0.4635	2.04
0.4645	1.976
0.4655	2.042
0.4665	1.921
0.4675	2.015
0.4685	1.994
0.4695	1.99
0.4705	1.877
0.4715	2.018
0.4725	2.041
0.4735	1.991
0.4745	2.051
0.4755	2.016
0.4765	1.956
0.4775	2.075
0.4785	2.009
0.4795	2.076
0.4805	2.035
0.4815	2.09
0.4825	2.023
0.4835	2.019
0.4845	1.969
0.4855	1.83
0.4865	1.625
0.4875	1.83
0.4885	1.914
0.4895	1.96
0.4905	2.007
0.4915	1.896
0.4925	1.896
0.4935	1.888
0.4945	2.058
0.4955	1.926
0.4965	2.017
0.4975	2.018
0.4985	1.866
0.4995	1.97
0.5005	1.857
0.5015	1.812
0.5025	1.894
0.5035	1.934
0.5045	1.869
0.5055	1.993
0.5065	1.961
0.5075	1.906
0.5085	1.919
0.5095	1.916
0.5105	1.947
0.5115	1.997
0.5125	1.867
0.5135	1.861
0.5145	1.874
0.5155	1.9
0.5165	1.669
0.5175	1.726
0.5185	1.654
0.5195	1.828
0.5205	1.831
0.5215	1.906
0.5225	1.823
0.5235	1.894
0.5245	1.958
0.5255	1.93
0.5265	1.674
0.5275	1.828
0.5285	1.897
0.5295	1.918
0.5305	1.952
0.5315	1.963
0.5325	1.77
0.5335	1.923
0.5345	1.858
0.5355	1.99
0.5365	1.871
0.5375	1.882
0.5385	1.904
0.5395	1.832
0.5405	1.769
0.5415	1.881
0.5425	1.825
0.5435	1.879
0.5445	1.879
0.5455	1.901
0.5465	1.879
0.5475	1.833
0.5485	1.863
0.5495	1.895
0.5505	1.862
0.5515	1.871
0.5525	1.846
0.5535	1.882
0.5545	1.898
0.5555	1.897
0.5565	1.821
0.5575	1.846
0.5585	1.787
0.5595	1.808
0.5605	1.843
0.5615	1.824
0.5625	1.85
0.5635	1.861
0.5645	1.854
0.5655	1.798
0.5665	1.829
0.5675	1.887
0.5685	1.81
0.5695	1.86
0.5705	1.769
0.5715	1.823
0.5725	1.892
0.5735	1.876
0.5745	1.867
0.5755	1.83
0.5765	1.846
0.5775	1.857
0.5785	1.783
0.5795	1.828
0.5805	1.838
0.5815	1.853
0.5825	1.873
0.5835	1.857
0.5845	1.86
0.5855	1.783
0.5865	1.83
0.5875	1.848
0.5885	1.75
0.5895	1.612
0.5905	1.813
0.5915	1.787
0.5925	1.808
0.5935	1.796
0.5945	1.773
0.5955	1.782
0.5965	1.805
0.5975	1.78
0.5985	1.757
0.5995	1.774
0.6005	1.746
0.6015	1.751
0.6025	1.719
0.6035	1.787
0.6045	1.776
0.6055	1.763
0.6065	1.759
0.6075	1.757
0.6085	1.743
0.6095	1.744
0.6105	1.703
0.6115	1.746
0.6125	1.705
0.6135	1.683
0.6145	1.713
0.6155	1.713
0.6165	1.609
0.6175	1.707
0.6185	1.724
0.6195	1.707
0.6205	1.734
0.6215	1.69
0.6225	1.713
0.6235	1.666
0.6245	1.656
0.6255	1.632
0.6265	1.697
0.6275	1.697
0.6285	1.697
0.6295	1.677
0.631	1.639
0.633	1.651
0.635	1.656
0.637	1.654
0.639	1.651
0.641	1.614
0.643	1.621
0.645	1.627
0.647	1.603
0.649	1.558
0.651	1.606
0.653	1.599
0.655	1.532
